level,word,part_of_speech,definition,synonyms,more_synonyms
18,winnow,v,separate the chaff from by using air currents,"winnow, fan","select, unclutter, pick out, analyze, blow on, separate"
18,wispy,adj,thin and weak,"wisplike, wispy","finespun, weak, transparent"
18,wrongdoer,n,a person who transgresses moral or civil law,"wrongdoer, offender","bad person, lawbreaker, guilty party, criminal, evildoer, perpetrator Copyright 2007 Audrey Walton. All rights reserved. Definitions from WordNet 3.0 Copyright 2006 by Princeton University. All rights reserved."
19,abase,v,cause to feel shame; hurt the pride of,"humiliate, mortify, chagrin, humble, abase","deprive of self-esteem, confidence, hurt, humiliate, diminish, pollute, humble"
19,abasement,n,a low or downcast state,"abasement, degradation, abjection","disgrace, corruption, shame, despair, deterioration, decay"
19,abash,,Synonyms:,"More Synonyms: displease, confuse, bewilder, intimidate, humiliate, discourage","displease, confuse, bewilder, intimidate, humiliate, discourage"
19,abhorrence,n,hate coupled with disgust,"abhorrence, abomination, detestation, execration, loathing, odium","disgust, hate, disgust, dislike, repulsion, dislike"
19,abjure,v,"formally reject or disavow a formerly held belief, usually under pressure","abjure, recant, forswear, retract, resile","give up, give up, hold back, request, contradict, say no"
19,abstruse,adj,difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,"abstruse, deep, recondite","difficult, conceptual, puzzling, perplexing, complex, secret"
19,acrimony,n,a rough and bitter manner,"bitterness, acrimony, acerbity, jaundice, tartness, thorniness","belligerence, bitterness, upset, hatred, meanness, hatred"
19,aesthete,n,one who professes great sensitivity to the beauty of art and nature,"esthete, aesthete","authority, amateur"
19,antedate,v,be earlier in time; go back further,"predate, precede, forego, forgo, antecede, antedate","occur earlier, misdating, go ahead"
19,antipodes,,,,
19,arboreal,adj,of or relating to or formed by trees,"arborical, arboreal, arborary, arborous",
19,arrogate,v,demand as being one’s due or property; assert one’s right or title to,"claim, lay claim, arrogate","take, undertake, acquire, seize, steal, ask strongly"
19,askance,,Synonyms:,"More Synonyms: sideways, crooked, off-course, condemn, crooked, grumble","sideways, crooked, off-course, condemn, crooked, grumble"
19,aspersion,,Synonyms:,"More Synonyms: criticism, abuse, disapproval, libel, belittlement, criticism","criticism, abuse, disapproval, libel, belittlement, criticism"
19,augury,n,an event that is experienced as indicating important things to come,"augury, sign, foretoken, preindication","omen, prediction, fortune-telling, misgiving, prediction, sign"
19,aureole,n,the outermost region of the sun’s atmosphere; visible as a white halo during a solar eclipse,"aureole, corona","round figure, ring"
19,baleful,adj,deadly or sinister,"baleful, baneful","menacing, injurious, ending, injurious, damaging, horrible"
19,baneful,adj,exceedingly harmful,"baneful, deadly, pernicious, pestilent","injurious, vicious, ending, injurious, horrible, immoral"
19,belabor,v,to work at or to absurd length,"belabor, belabour","dwell on, dwell on, criticize, criticize, overestimate, beat"
19,bellicose,,,,
19,belligerence,n,hostile or warlike attitude or nature,"belligerence, belligerency","belligerence, hostility, verbal assault, courage, antagonism"
19,bilious,adj,relating to or containing bile,"bilious, biliary","pale, uncomfortable, pale, not healthy, revolting, colorless"
19,blase,adj,very sophisticated especially because of surfeit; versed in the ways of the world,"blase, worldly","cosmopolitan, oblivious to, sophisticated"
19,bombast,n,pompous or pretentious talk or writing,"bombast, fustian, rant, claptrap, blah","bullying, pride, boastfulness, dialect, nonsense, ridiculousness"
19,calamitous,adj,(of events) having extremely unfortunate or dire consequences; bringing ruin,"black, calamitous, disastrous, fatal, fateful","disastrous, menacing, injurious, painful, unfortunate, injurious"
19,calculable,adj,capable of being calculated or estimated,calculable,"estimable, believable, determinable, liable"
19,calumny,n,a false accusation of an offense or a malicious misrepresentation of someone’s words or actions,"defamation, calumny, calumniation, obloquy, traducement, hatchet job","criticism, verbal assault, abuse, libel, belittlement, criticism"
19,cannibalistic,adj,characteristic of cannibals or exhibiting cannibalism,cannibalistic,"ending, animal, animal, savage, carnivorous"
19,cantankerous,adj,stubbornly obstructive and unwilling to cooperate,,
19,capacious,adj,large in capacity,capacious,"ample, sufficient, large, wide, spacious, far-reaching"
19,cavil,v,raise trivial objections,"cavil, carp, chicane","argue, nag, condemn, grumble, grumbling, disapproval"
19,certitude,n,total certainty or greater certainty than circumstances warrant,"certitude, cocksureness, overconfidence","confidence, assurance, sentence, perseverance, reality, trust"
19,chauvinist,n,a person with a prejudiced belief in the superiority of his or her own kind,chauvinist,"woman-hater, countryman, bigot"
19,chicanery,n,the use of tricks to deceive someone (usually to extract money from them),"trickery, chicanery, chicane, guile, wile, shenanigan","deception, deception, lie, trick, misleading, trick"
19,chivalrous,adj,being attentive to women like an ideal knight,"chivalrous, gallant, knightly","valiant, kind, generous, bold, respectful, refined"
19,churl,,Synonyms:,"More Synonyms: creep, clod, stupid, boor, hoarder, miser","creep, clod, stupid, boor, hoarder, miser"
19,claustrophobia,n,a morbid fear of being closed in a confined space,claustrophobia,anxiety caused by living in isolation or indoors for a long period of time
19,codicil,n,a supplement to a will; a testamentary instrument intended to alter an already executed will,codicil,"appendix, extra, document, document, attachment, provision"
19,cohere,v,come or be in close contact with; stick or hold together and resist separation,"cling, cleave, adhere, stick, cohere","stick to, agree, stick, conform, attach, stand by"
19,commiserate,v,to feel or express sympathy or compassion,"commiserate, sympathize, sympathise","console, calm, feel compassion for, feel sorry, feel for"
19,compunction,n,a feeling of deep regret (usually for some misdeed),"compunction, remorse, self-reproach","regret, feeling, morals, regret, reparation, shame"
19,comradeship,n,the quality of affording easy familiarity and sociability,"chumminess, camaraderie, comradeliness, comradery, comradeship","friendship, alliance, friendship, friendship, friendship, sociability"
19,concordant,,Synonyms:,"More Synonyms: friendly, contributing, corresponding, agreeing, friendly, harmonious, musical","friendly, contributing, corresponding, agreeing, friendly, harmonious, musical"
19,consonance,n,the repetition of consonants (or consonant patterns) especially at the ends of words,"consonance, consonant rhyme","agreement, harmony, agreement, coexistence, harmony, structure"
19,coterminous,adj,being of equal extent or scope or duration,"coextensive, coterminous, conterminous","contributing, agreeing, equivalent, commensurate, immediately"
19,counterfeiter,n,someone who makes copies illegally,"forger, counterfeiter","cheat, cheater"
19,dalliance,n,the deliberate act of delaying and playing instead of working,"dalliance, dawdling, trifling","dawdling, love affair, teasing, monkey business, love relationship, sexual activity"
19,dawdle,v,take one’s time; proceed slowly,"linger, dawdle","delay, walk, delay, stop, waste time, move slowly"
19,debauch,,Synonyms:,"More Synonyms: corrupt, debase, blight, adulterate, pollute, shame","corrupt, debase, blight, adulterate, pollute, shame"
19,decorous,adj,characterized by propriety and dignity and good taste in manners and conduct,decorous,"appropriate, suitable, appropriate, ritual, pure, common"
19,desultory,adj,marked by lack of definite plan or regularity or purpose; jumping from one thing to another,desultory,"random, goalless, casual, broken, unpredictable, irregular"
19,diffident,adj,showing modest reserve,diffident,"hesitant, bashful, shy, fearful, modest, reserved"
19,disabuse,v,free somebody (from an erroneous belief),disabuse,"rid, do away with"
19,discomfit,v,cause to lose one’s composure,"upset, discompose, untune, disconcert, discomfit","bother, displease, confuse, bewilder, defeat, intimidate"
19,disincline,,Synonyms:,"More Synonyms: deter, depress, talk out of","deter, depress, talk out of"
19,doctrinaire,adj,stubbornly insistent on theory without regard for practicality or suitability,doctrinaire,"opinionated, domineering, domineering, disciple, persecutor, authoritarian"
19,duplicitous,adj,marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another,,
19,ebullient,adj,joyously unrestrained,"ebullient, exuberant, high-spirited","enthusiastic, lively, enthusiastic, gushing, adaptable, interested"
19,effusive,adj,uttered with unrestrained enthusiasm,"burbling, burbly, effusive, gushing","gushing, informative, expressive, enthusiastic, talkative, profuse"
19,egoism,,Synonyms:,"More Synonyms: self-centeredness, self-analysis, self-esteem, arrogance, pride","self-centeredness, self-analysis, self-esteem, arrogance, pride"
19,egotist,n,a conceited and self-centered person,"egotist, egoist, swellhead","boaster, nonbeliever, loner, hater, braggart"
19,emend,v,make improvements or corrections to,emend,"correct, fix, rewrite, mend, better, repair"
19,enervate,v,weaken mentally or morally,enervate,"tire, weaken, incapacitate, deject, cripple, weaken"
19,enfranchise,v,grant freedom to; as from slavery or servitude,"affranchise, enfranchise","set free, set free, have right, liberate, select"
19,equivocation,n,a statement that is not literally false but that cleverly avoids an unpleasant truth,"evasion, equivocation","avoidance, uncertainty, lie, misleading, play on words, nonsense"
19,estimable,adj,deserving of respect or high regard,estimable,
19,eulogize,v,praise formally and eloquently,"eulogize, eulogise","praise, approve, respect, clap, sanctify, commemorate"
19,euphony,,Synonyms:,"More Synonyms: musicality, harmony, agreement","musicality, harmony, agreement"
19,evenhanded,,Synonyms:,More Synonyms:,
19,excoriate,v,express strong disapproval of,"condemn, reprobate, decry, objurgate, excoriate","scrape, criticize, criticize, rub, disapprove, condemn"
19,execrable,adj,of very poor quality or condition,"deplorable, execrable, miserable, woeful, wretched","horrible, disgusting, awful, offensive, damned, hateful"
19,famish,,Synonyms:,More Synonyms: not eat,not eat
19,fatuous,adj,devoid of intelligence,"asinine, fatuous, inane, mindless, vacuous","stupid, unrealistic, flighty, indulgent, fruitless, nonsensical"
19,feckless,adj,not fit to assume responsibility,feckless,"purposeless, carefree, careless, accidental, useless, weak, useless"
19,fecund,adj,capable of producing offspring or vegetation,fecund,"productive, profuse, ready, productive, profuse, expecting"
19,felicitous,adj,exhibiting an agreeably appropriate manner or style,felicitous,
19,fetid,adj,offensively malodorous,"fetid, foetid, foul, foul-smelling, funky, noisome, smelly, stinking, ill-scented","foul, disgusting, ill-smelling; corrupt, foul, stuffy, immoral"
19,filch,v,make off with belongings of others,"pilfer, cabbage, purloin, pinch, abstract, snarf, swipe, hook, sneak, filch, nobble, lift","steal, steal, appropriate, steal, steal, steal"
19,finagle,v,achieve something by means of trickery or devious methods,"wangle, finagle, manage","maneuver, defraud, plot, bring about, devise, manipulate"
19,foretaste,n,an early limited awareness of something yet to occur,foretaste,"expect, expectation, readiness, appetizer, ominous indication"
19,fractious,adj,stubbornly resistant to authority or control,"fractious, refractory, recalcitrant","grouchy, angry, irritable, unmanageable, defiant, unlawful"
